Comment,Designator,Footprint,LCSC,Quantity
1k,R14,R_0402_1005Metric,C11702,1
ASMD1206-150,F3,Fuse_1206_3216Metric,C135341,1
220pF NP0,C30,C_0402_1005Metric,C1530,1
10uF,C37,C_0603_1608Metric,C1691,1
100,"R1,R2,R3,R4",R_0402_1005Metric,C25076,4
10k,R20,R_0402_1005Metric,C25531,1
100k,"R13,R16,R17,R18,R19,R21,R24,R25,R26,R27,R28",R_0402_1005Metric,C25741,11
5.1k,"R29,R30",R_0402_1005Metric,C25941,2
PRTR5V0U2X,U11,SOT-143,C2827688,1
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C3001293,1
100n,"C29,C31,C32,C33,C34,C35,C36,C38,C40,C44",C_0402_1005Metric,C307331,10
OPA354,U5,SOT-23-5,C36384,1
1u,"C39,C41,C42",C_0402_1005Metric,C52923,3
XC6206PxxxMR-Regulator_Linear,U9,SOT-23,C5446,1
74HC4051,"U6,U7",TSSOP16,C5645,2
STM32F072CBT6,U8,LQFP-48_7x7mm_P0.5mm,C81720,1
