Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C29,100n,C_0402_1005Metric,58.99375,-85.53125,90.0,bottom
C30,220pF NP0,C_0402_1005Metric,64.195574,-86.94643,90.0,bottom
C31,100n,C_0402_1005Metric,75.40625,-81.55625,270.0,bottom
C32,100n,C_0402_1005Metric,190.5,-81.6642,270.0,bottom
C33,100nF,C_0402_1005Metric,61.545824,-74.860288,90.0,bottom
C34,100nF,C_0402_1005Metric,62.864081,-80.910576,270.0,bottom
C35,100nF,C_0402_1005Metric,52.784658,-74.841036,90.0,bottom
C36,100nF,C_0402_1005Metric,60.18875,-73.482441,0.0,bottom
C37,10uF,C_0603_1608Metric,62.894069,-74.309151,90.0,bottom
C38,100n,C_0402_1005Metric,52.784658,-83.4575,270.0,bottom
C39,1u,C_0402_1005Metric,63.92375,-80.910576,270.0,bottom
C40,100nF,C_0402_1005Metric,63.399561,-79.428486,180.0,bottom
C41,1uF,C_0402_1005Metric,72.38125,-45.24375,90.0,bottom
C42,1uF,C_0402_1005Metric,67.46875,-45.24375,90.0,bottom
J2,SM04B,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,88.10625,-42.8625,270.0,bottom
R1,100,R_0402_1005Metric,46.5475,-80.76875,0.0,bottom
R13,100k,R_0402_1005Metric,62.3625,-84.19375,0.0,bottom
R14,1k,R_0402_1005Metric,58.99375,-87.51875,90.0,bottom
R16,100k,R_0402_1005Metric,75.40625,-83.65375,90.0,bottom
R17,100k,R_0402_1005Metric,81.75625,-88.7,270.0,bottom
R18,100k,R_0402_1005Metric,80.16875,-80.49375,0.0,bottom
R19,100k,R_0402_1005Metric,75.40625,-85.525,270.0,bottom
R2,100,R_0402_1005Metric,46.5475,-78.76875,0.0,bottom
R20,10k,R_0402_1005Metric,58.2275,-73.482441,180.0,bottom
R21,100k,R_0402_1005Metric,85.725,-85.525,270.0,bottom
R24,100k,R_0402_1005Metric,190.5,-85.80875,270.0,bottom
R25,100k,R_0402_1005Metric,196.45,-80.6017,0.0,bottom
R26,100k,R_0402_1005Metric,195.2625,-88.80795,270.0,bottom
R27,100k,R_0402_1005Metric,194.46875,-80.6017,180.0,bottom
R28,100k,R_0402_1005Metric,200.81875,-84.4475,90.0,bottom
R3,100,R_0402_1005Metric,54.407441,-72.706326,90.0,bottom
R4,100,R_0402_1005Metric,46.5475,-81.75625,0.0,bottom
U5,OPA354,SOT-23-5,61.56875,-86.475,0.0,bottom
U6,74HC4051,TSSOP16,80.9625,-84.73125,270.0,bottom
U7,74HC4051,TSSOP16,195.2625,-84.8392,270.0,bottom
U8,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,57.15,-79.175,0.0,bottom
U9,XC6206PxxxMR-Regulator_Linear,SOT-23,69.85,-45.24375,180.0,bottom
