Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,12p,C_0402_1005Metric,199.985671,-46.306958,0.0,bottom
C12,4u7,C_0402_1005Metric,125.2125,-37.615,90.0,bottom
C13,4u7,C_0402_1005Metric,132.474863,-45.589344,180.0,bottom
C14,1u,C_0402_1005Metric,132.499158,-44.64688,180.0,bottom
C15,4u7,C_0402_1005Metric,134.332884,-40.987201,90.0,bottom
C16,1u,C_0402_1005Metric,133.30625,-40.986297,90.0,bottom
C17,100n,C_0402_1005Metric,124.64375,-42.9875,0.0,bottom
C18,4u7,C_0402_1005Metric,126.20625,-40.986938,90.0,bottom
C19,1u,C_0402_1005Metric,127.16625,-40.986938,90.0,bottom
C6,1u,C_0402_1005Metric,199.995453,-41.86875,0.0,bottom
C7,4u7,C_0402_1005Metric,200.343919,-36.636037,90.0,bottom
C8,4u7,C_0402_1005Metric,200.597327,-40.305736,270.0,bottom
C9,12p,C_0402_1005Metric,200.023785,-49.979298,0.0,bottom
D1,D_Small,D_SOD-123F,60.325,-73.025,0.0,bottom
D10,D_Small,D_SOD-123F,55.5625,-73.025,0.0,bottom
D11,D_Small,D_SOD-123F,155.575,-68.0625,0.0,bottom
D12,D_Small,D_SOD-123F,60.325,-68.0625,0.0,bottom
D13,D_Small,D_SOD-123F,155.575,-72.825,0.0,bottom
D14,D_Small,D_SOD-123F,79.375,-75.20625,0.0,bottom
D15,D_Small,D_SOD-123F,79.375,-72.825,0.0,bottom
D16,D_Small,D_SOD-123F,174.625,-70.44375,0.0,bottom
D17,D_Small,D_SOD-123F,79.375,-68.0625,0.0,bottom
D18,D_Small,D_SOD-123F,174.625,-68.0625,0.0,bottom
D19,D_Small,D_SOD-123F,79.375,-70.44375,0.0,bottom
D2,D_Small,D_SOD-123F,136.525,-70.44375,0.0,bottom
D20,D_Small,D_SOD-123F,174.625,-72.825,0.0,bottom
D21,D_Small,D_SOD-123F,98.425,-75.20625,0.0,bottom
D22,D_Small,D_SOD-123F,98.425,-70.44375,0.0,bottom
D23,D_Small,D_SOD-123F,117.475,-68.0625,0.0,bottom
D24,D_Small,D_SOD-123F,136.525,-75.20625,0.0,bottom
D25,D_Small,D_SOD-123F,192.28125,-68.0625,180.0,bottom
D26,D_Small,D_SOD-123F,197.04375,-68.0625,0.0,bottom
D27,D_Small,D_SOD-123F,192.28125,-72.825,180.0,bottom
D28,D_Small,D_SOD-123F,98.425,-68.0625,0.0,bottom
D29,D_Small,D_SOD-123F,117.475,-70.44375,0.0,bottom
D3,D_Small,D_SOD-123F,60.325,-70.44375,0.0,bottom
D30,D_Small,D_SOD-123F,197.04375,-75.20625,0.0,bottom
D31,D_Small,D_SOD-123F,192.28125,-70.44375,180.0,bottom
D32,D_Small,D_SOD-123F,197.04375,-70.44375,0.0,bottom
D34,D_Small,D_SOD-123F,98.425,-72.825,0.0,bottom
D35,D_Small,D_SOD-123F,117.475,-72.825,0.0,bottom
D37,D_Small,D_SOD-123F,197.04375,-72.825,0.0,bottom
D4,D_Small,D_SOD-123F,136.525,-68.0625,0.0,bottom
D40,D_Small,D_SOD-123F,155.575,-75.20625,0.0,bottom
D5,D_Small,D_SOD-123F,55.5625,-68.0625,180.0,bottom
D6,D_Small,D_SOD-123F,136.525,-72.825,0.0,bottom
D7,D_Small,D_SOD-123F,55.5625,-70.44375,180.0,bottom
D8,D_Small,D_SOD-123F,55.5625,-75.40625,0.0,bottom
D9,D_Small,D_SOD-123F,155.575,-70.44375,0.0,bottom
F2,750 mA,Fuse_1206_3216Metric,122.494773,-36.5125,270.0,bottom
